file,class,isosurface_points,isosurface_cells
data/vtk/glioma/Tr-gl_1053.vtk,glioma,27838,54772
data/vtk/glioma/Tr-gl_1054.vtk,glioma,15234,29812
data/vtk/glioma/Tr-gl_1055.vtk,glioma,39430,78384
data/vtk/glioma/Tr-gl_1056.vtk,glioma,1196,2312
data/vtk/glioma/Tr-gl_1057.vtk,glioma,12842,25248
data/vtk/glioma/Tr-gl_1058.vtk,glioma,44508,88560
data/vtk/glioma/Tr-gl_1059.vtk,glioma,50138,99724
data/vtk/glioma/Tr-gl_106.vtk,glioma,31332,61824
data/vtk/glioma/Tr-gl_1060.vtk,glioma,44156,87608
data/vtk/glioma/Tr-gl_1061.vtk,glioma,30134,59676
data/vtk/glioma/Tr-gl_1062.vtk,glioma,29510,58288
data/vtk/glioma/Tr-gl_1063.vtk,glioma,12964,25496
data/vtk/glioma/Tr-gl_1064.vtk,glioma,36020,71144
data/vtk/glioma/Tr-gl_1065.vtk,glioma,33368,66148
data/vtk/glioma/Tr-gl_1066.vtk,glioma,11658,22888
data/vtk/glioma/Tr-gl_1067.vtk,glioma,32475,64324
data/vtk/glioma/Tr-gl_1068.vtk,glioma,26410,51972
data/vtk/glioma/Tr-gl_1069.vtk,glioma,15508,30464
data/vtk/glioma/Tr-gl_107.vtk,glioma,31120,61404
data/vtk/glioma/Tr-gl_1070.vtk,glioma,22372,44200
data/vtk/glioma/Tr-gl_1071.vtk,glioma,10558,20704
data/vtk/glioma/Tr-gl_1072.vtk,glioma,46488,92272
data/vtk/glioma/Tr-gl_1073.vtk,glioma,60063,119372
data/vtk/glioma/Tr-gl_1074.vtk,glioma,21020,41472
data/vtk/glioma/Tr-gl_1075.vtk,glioma,9008,17604
data/vtk/glioma/Tr-gl_1076.vtk,glioma,22314,44060
data/vtk/glioma/Tr-gl_1077.vtk,glioma,13732,27024
data/vtk/glioma/Tr-gl_1078.vtk,glioma,22510,44416
data/vtk/glioma/Tr-gl_1079.vtk,glioma,31960,63736
data/vtk/glioma/Tr-gl_108.vtk,glioma,31122,61408
data/vtk/glioma/Tr-gl_1080.vtk,glioma,32572,64584
data/vtk/glioma/Tr-gl_1081.vtk,glioma,27022,53304
data/vtk/glioma/Tr-gl_1082.vtk,glioma,22178,43980
data/vtk/glioma/Tr-gl_1083.vtk,glioma,27378,54052
data/vtk/glioma/Tr-gl_1084.vtk,glioma,31500,62168
data/vtk/glioma/Tr-gl_1085.vtk,glioma,12790,25048
data/vtk/glioma/Tr-gl_1086.vtk,glioma,16204,31840
data/vtk/glioma/Tr-gl_1087.vtk,glioma,24256,48076
data/vtk/glioma/Tr-gl_1088.vtk,glioma,34066,67228
data/vtk/glioma/Tr-gl_1089.vtk,glioma,32978,65512
data/vtk/glioma/Tr-gl_109.vtk,glioma,30804,60932
data/vtk/glioma/Tr-gl_1090.vtk,glioma,3478,6820
data/vtk/glioma/Tr-gl_1091.vtk,glioma,27770,54860
data/vtk/glioma/Tr-gl_1092.vtk,glioma,5436,10688
data/vtk/glioma/Tr-gl_1093.vtk,glioma,24736,48820
data/vtk/glioma/Tr-gl_1094.vtk,glioma,23364,46164
data/vtk/glioma/Tr-gl_1095.vtk,glioma,51492,102544
data/vtk/glioma/Tr-gl_1096.vtk,glioma,20922,41048
data/vtk/glioma/Tr-gl_1097.vtk,glioma,25582,50512
data/vtk/glioma/Tr-gl_1098.vtk,glioma,14570,28544
data/vtk/glioma/Tr-gl_1099.vtk,glioma,17098,33592
data/vtk/glioma/Tr-gl_11.vtk,glioma,35864,71428
data/vtk/glioma/Tr-gl_110.vtk,glioma,20978,41224
data/vtk/glioma/Tr-gl_1100.vtk,glioma,21224,41748
data/vtk/glioma/Tr-gl_1101.vtk,glioma,30478,60408
data/vtk/glioma/Tr-gl_1102.vtk,glioma,35336,70256
data/vtk/glioma/Tr-gl_1103.vtk,glioma,18156,35904
data/vtk/glioma/Tr-gl_1104.vtk,glioma,9196,17908
data/vtk/glioma/Tr-gl_1105.vtk,glioma,27146,53416
data/vtk/glioma/Tr-gl_1106.vtk,glioma,52580,104332
data/vtk/glioma/Tr-gl_1107.vtk,glioma,34130,67348
data/vtk/glioma/Tr-gl_1108.vtk,glioma,26104,51448
data/vtk/glioma/Tr-gl_1109.vtk,glioma,34962,69152
data/vtk/glioma/Tr-gl_111.vtk,glioma,21154,41720
data/vtk/glioma/Tr-gl_1110.vtk,glioma,26496,52284
data/vtk/glioma/Tr-gl_1111.vtk,glioma,35496,70176
data/vtk/glioma/Tr-gl_1112.vtk,glioma,9752,19260
data/vtk/glioma/Tr-gl_1113.vtk,glioma,39340,77972
data/vtk/glioma/Tr-gl_1114.vtk,glioma,50612,100560
data/vtk/glioma/Tr-gl_1115.vtk,glioma,22402,44188
data/vtk/glioma/Tr-gl_1116.vtk,glioma,17836,35376
data/vtk/glioma/Tr-gl_1117.vtk,glioma,38708,76384
data/vtk/glioma/Tr-gl_1118.vtk,glioma,3756,7280
data/vtk/glioma/Tr-gl_1119.vtk,glioma,17236,33948
data/vtk/glioma/Tr-gl_112.vtk,glioma,18914,37360
data/vtk/glioma/Tr-gl_1120.vtk,glioma,30902,61084
data/vtk/glioma/Tr-gl_1121.vtk,glioma,30094,59748
data/vtk/glioma/Tr-gl_1122.vtk,glioma,17620,34524
data/vtk/glioma/Tr-gl_1123.vtk,glioma,35102,69796
data/vtk/glioma/Tr-gl_1124.vtk,glioma,28290,55740
data/vtk/glioma/Tr-gl_1125.vtk,glioma,13878,27248
data/vtk/glioma/Tr-gl_1126.vtk,glioma,29480,58368
data/vtk/glioma/Tr-gl_1127.vtk,glioma,1392,2696
data/vtk/glioma/Tr-gl_1128.vtk,glioma,30388,59920
data/vtk/glioma/Tr-gl_1129.vtk,glioma,35990,70908
data/vtk/glioma/Tr-gl_113.vtk,glioma,28034,55464
data/vtk/glioma/Tr-gl_1130.vtk,glioma,25450,50272
data/vtk/glioma/Tr-gl_1131.vtk,glioma,28360,56120
data/vtk/glioma/Tr-gl_1132.vtk,glioma,9098,17816
data/vtk/glioma/Tr-gl_1133.vtk,glioma,23162,45624
data/vtk/glioma/Tr-gl_1134.vtk,glioma,12856,25240
data/vtk/glioma/Tr-gl_1135.vtk,glioma,38716,76900
data/vtk/glioma/Tr-gl_1136.vtk,glioma,14774,29036
data/vtk/glioma/Tr-gl_1137.vtk,glioma,26154,51920
data/vtk/glioma/Tr-gl_1138.vtk,glioma,4514,8736
data/vtk/glioma/Tr-gl_1139.vtk,glioma,39922,79240
data/vtk/glioma/Tr-gl_114.vtk,glioma,1558,3032
data/vtk/glioma/Tr-gl_1140.vtk,glioma,37280,73832
data/vtk/glioma/Tr-gl_1141.vtk,glioma,11840,23184
data/vtk/glioma/Tr-gl_1142.vtk,glioma,14458,28312
data/vtk/glioma/Tr-gl_1143.vtk,glioma,16608,32540
data/vtk/glioma/Tr-gl_1144.vtk,glioma,38020,75200
data/vtk/glioma/Tr-gl_1145.vtk,glioma,24654,48660
data/vtk/glioma/Tr-gl_1146.vtk,glioma,19196,37792
data/vtk/glioma/Tr-gl_1147.vtk,glioma,37984,75304
data/vtk/glioma/Tr-gl_1148.vtk,glioma,29794,58664
data/vtk/glioma/Tr-gl_1149.vtk,glioma,10148,19828
data/vtk/glioma/Tr-gl_115.vtk,glioma,32504,64000
data/vtk/glioma/Tr-gl_1150.vtk,glioma,45044,89512
data/vtk/glioma/Tr-gl_1151.vtk,glioma,32684,64696
data/vtk/glioma/Tr-gl_1152.vtk,glioma,38714,76804
data/vtk/glioma/Tr-gl_1153.vtk,glioma,42364,84708
data/vtk/glioma/Tr-gl_1154.vtk,glioma,6068,11808
data/vtk/glioma/Tr-gl_1155.vtk,glioma,9368,18232
data/vtk/glioma/Tr-gl_1156.vtk,glioma,19928,39216
data/vtk/glioma/Tr-gl_1157.vtk,glioma,15930,31312
data/vtk/glioma/Tr-gl_1158.vtk,glioma,23006,45288
data/vtk/glioma/Tr-gl_1159.vtk,glioma,18574,36724
data/vtk/glioma/Tr-gl_116.vtk,glioma,48804,97004
data/vtk/glioma/Tr-gl_1160.vtk,glioma,13960,27376
data/vtk/glioma/Tr-gl_1161.vtk,glioma,38332,76016
data/vtk/glioma/Tr-gl_1162.vtk,glioma,8686,16920
data/vtk/glioma/Tr-gl_1163.vtk,glioma,47404,94408
data/vtk/glioma/Tr-gl_1164.vtk,glioma,1234,2408
data/vtk/glioma/Tr-gl_1165.vtk,glioma,12650,24752
data/vtk/glioma/Tr-gl_1166.vtk,glioma,33180,65572
data/vtk/glioma/Tr-gl_1167.vtk,glioma,43618,86420
data/vtk/glioma/Tr-gl_1168.vtk,glioma,7778,15184
data/vtk/glioma/Tr-gl_1169.vtk,glioma,6426,12636
data/vtk/glioma/Tr-gl_117.vtk,glioma,18030,35384
data/vtk/glioma/Tr-gl_1170.vtk,glioma,38686,76624
data/vtk/glioma/Tr-gl_1171.vtk,glioma,13318,26072
data/vtk/glioma/Tr-gl_1172.vtk,glioma,31668,62664
data/vtk/glioma/Tr-gl_1173.vtk,glioma,27762,54748
data/vtk/glioma/Tr-gl_1174.vtk,glioma,40346,80048
data/vtk/glioma/Tr-gl_1175.vtk,glioma,28268,55600
data/vtk/glioma/Tr-gl_1176.vtk,glioma,47978,95304
data/vtk/glioma/Tr-gl_1177.vtk,glioma,47760,94444
data/vtk/glioma/Tr-gl_1178.vtk,glioma,28240,55832
data/vtk/glioma/Tr-gl_1179.vtk,glioma,20270,39860
data/vtk/glioma/Tr-gl_118.vtk,glioma,40864,81100
data/vtk/glioma/Tr-gl_1180.vtk,glioma,26666,52524
data/vtk/glioma/Tr-gl_1181.vtk,glioma,17404,34420
data/vtk/glioma/Tr-gl_1182.vtk,glioma,27862,55064
data/vtk/glioma/Tr-gl_1183.vtk,glioma,9290,18240
data/vtk/glioma/Tr-gl_1184.vtk,glioma,26448,52048
data/vtk/glioma/Tr-gl_1185.vtk,glioma,43572,86272
data/vtk/glioma/Tr-gl_1186.vtk,glioma,29952,59360
data/vtk/glioma/Tr-gl_1187.vtk,glioma,37300,74200
data/vtk/glioma/Tr-gl_1188.vtk,glioma,20248,39944
data/vtk/glioma/Tr-gl_1189.vtk,glioma,4900,9536
data/vtk/glioma/Tr-gl_119.vtk,glioma,31514,62408
data/vtk/glioma/Tr-gl_1190.vtk,glioma,47128,93636
data/vtk/glioma/Tr-gl_1191.vtk,glioma,32352,64072
data/vtk/glioma/Tr-gl_1192.vtk,glioma,27746,54896
data/vtk/glioma/Tr-gl_1193.vtk,glioma,44256,87628
data/vtk/glioma/Tr-gl_1194.vtk,glioma,23704,46524
data/vtk/glioma/Tr-gl_1195.vtk,glioma,21946,43196
data/vtk/glioma/Tr-gl_1196.vtk,glioma,6874,13352
data/vtk/glioma/Tr-gl_1197.vtk,glioma,30334,59876
data/vtk/glioma/Tr-gl_1198.vtk,glioma,45042,89608
data/vtk/glioma/Tr-gl_1199.vtk,glioma,53474,106216
data/vtk/glioma/Tr-gl_12.vtk,glioma,31772,62684
data/vtk/glioma/Tr-gl_120.vtk,glioma,27054,53392
data/vtk/glioma/Tr-gl_1200.vtk,glioma,9766,19048
data/vtk/glioma/Tr-gl_1201.vtk,glioma,18768,37028
data/vtk/glioma/Tr-gl_1202.vtk,glioma,33872,66940
data/vtk/glioma/Tr-gl_1203.vtk,glioma,28412,56084
data/vtk/glioma/Tr-gl_1204.vtk,glioma,54332,107872
data/vtk/glioma/Tr-gl_1205.vtk,glioma,36698,72972
data/vtk/glioma/Tr-gl_1206.vtk,glioma,60748,120756
data/vtk/glioma/Tr-gl_1207.vtk,glioma,18712,36748
data/vtk/glioma/Tr-gl_1208.vtk,glioma,32006,63540
data/vtk/glioma/Tr-gl_1209.vtk,glioma,28008,55020
data/vtk/glioma/Tr-gl_121.vtk,glioma,1880,3688
data/vtk/glioma/Tr-gl_1210.vtk,glioma,22314,43984
data/vtk/glioma/Tr-gl_1211.vtk,glioma,36770,73408
data/vtk/glioma/Tr-gl_1212.vtk,glioma,39518,78492
data/vtk/glioma/Tr-gl_1213.vtk,glioma,1744,3368
data/vtk/glioma/Tr-gl_1214.vtk,glioma,49868,99336
data/vtk/glioma/Tr-gl_1215.vtk,glioma,8282,16208
data/vtk/glioma/Tr-gl_1216.vtk,glioma,36802,72824
data/vtk/glioma/Tr-gl_1217.vtk,glioma,32890,65172
data/vtk/glioma/Tr-gl_1218.vtk,glioma,35468,70304
data/vtk/glioma/Tr-gl_1219.vtk,glioma,28784,56860
data/vtk/glioma/Tr-gl_122.vtk,glioma,31146,61708
data/vtk/glioma/Tr-gl_1220.vtk,glioma,63500,126240
data/vtk/glioma/Tr-gl_1221.vtk,glioma,17484,34392
data/vtk/glioma/Tr-gl_1222.vtk,glioma,11750,22992
data/vtk/glioma/Tr-gl_1223.vtk,glioma,15500,30408
data/vtk/glioma/Tr-gl_1224.vtk,glioma,15268,29908
data/vtk/glioma/Tr-gl_1225.vtk,glioma,8578,16816
data/vtk/glioma/Tr-gl_1226.vtk,glioma,47310,94196
data/vtk/glioma/Tr-gl_1227.vtk,glioma,47830,94984
data/vtk/glioma/Tr-gl_1228.vtk,glioma,12776,25064
data/vtk/glioma/Tr-gl_1229.vtk,glioma,28208,55840
data/vtk/glioma/Tr-gl_123.vtk,glioma,78394,155564
data/vtk/glioma/Tr-gl_1230.vtk,glioma,6728,13144
data/vtk/glioma/Tr-gl_1231.vtk,glioma,19012,37420
data/vtk/glioma/Tr-gl_1232.vtk,glioma,47808,95088
data/vtk/glioma/Tr-gl_1233.vtk,glioma,4220,8224
data/vtk/glioma/Tr-gl_1234.vtk,glioma,42962,85424
data/vtk/glioma/Tr-gl_1235.vtk,glioma,26986,53276
data/vtk/glioma/Tr-gl_1236.vtk,glioma,27284,53896
data/vtk/glioma/Tr-gl_1237.vtk,glioma,28822,56952
data/vtk/glioma/Tr-gl_1238.vtk,glioma,23328,46040
data/vtk/glioma/Tr-gl_1239.vtk,glioma,9276,18140
data/vtk/glioma/Tr-gl_124.vtk,glioma,24810,49004
data/vtk/glioma/Tr-gl_1240.vtk,glioma,17380,34188
data/vtk/glioma/Tr-gl_1241.vtk,glioma,39212,78388
data/vtk/glioma/Tr-gl_1242.vtk,glioma,48090,95440
data/vtk/glioma/Tr-gl_1243.vtk,glioma,34456,68336
data/vtk/glioma/Tr-gl_1244.vtk,glioma,34020,67004
data/vtk/glioma/Tr-gl_1245.vtk,glioma,30178,59716
data/vtk/glioma/Tr-gl_1246.vtk,glioma,21226,41744
data/vtk/glioma/Tr-gl_1247.vtk,glioma,7350,14336
data/vtk/glioma/Tr-gl_1248.vtk,glioma,38182,75860
data/vtk/glioma/Tr-gl_1249.vtk,glioma,65438,130520
data/vtk/glioma/Tr-gl_125.vtk,glioma,5686,11072
data/vtk/glioma/Tr-gl_1250.vtk,glioma,22286,43920
data/vtk/glioma/Tr-gl_1251.vtk,glioma,31916,63288
data/vtk/glioma/Tr-gl_1252.vtk,glioma,32904,65152
data/vtk/glioma/Tr-gl_1253.vtk,glioma,16594,32384
data/vtk/glioma/Tr-gl_1254.vtk,glioma,21698,42760
data/vtk/glioma/Tr-gl_1255.vtk,glioma,27908,55244
data/vtk/glioma/Tr-gl_1256.vtk,glioma,10542,20692
data/vtk/glioma/Tr-gl_1257.vtk,glioma,31356,62036
data/vtk/glioma/Tr-gl_1258.vtk,glioma,48270,95980
data/vtk/glioma/Tr-gl_1259.vtk,glioma,13218,25928
data/vtk/glioma/Tr-gl_126.vtk,glioma,998,1920
data/vtk/glioma/Tr-gl_1260.vtk,glioma,32218,63824
data/vtk/glioma/Tr-gl_1261.vtk,glioma,72720,144596
data/vtk/glioma/Tr-gl_1262.vtk,glioma,63286,126080
data/vtk/glioma/Tr-gl_1263.vtk,glioma,40508,80724
data/vtk/glioma/Tr-gl_1264.vtk,glioma,23886,47308
data/vtk/glioma/Tr-gl_1265.vtk,glioma,39700,78668
data/vtk/glioma/Tr-gl_1266.vtk,glioma,44464,87912
data/vtk/glioma/Tr-gl_1267.vtk,glioma,19156,37656
data/vtk/glioma/Tr-gl_1268.vtk,glioma,9608,18816
data/vtk/glioma/Tr-gl_1269.vtk,glioma,27636,54640
data/vtk/glioma/Tr-gl_127.vtk,glioma,26114,51516
data/vtk/glioma/Tr-gl_1270.vtk,glioma,17712,34752
data/vtk/glioma/Tr-gl_1271.vtk,glioma,21688,42732
data/vtk/glioma/Tr-gl_1272.vtk,glioma,24060,47308
data/vtk/glioma/Tr-gl_1273.vtk,glioma,56234,111972
data/vtk/glioma/Tr-gl_1274.vtk,glioma,34908,69724
data/vtk/glioma/Tr-gl_1275.vtk,glioma,27032,53368
data/vtk/glioma/Tr-gl_1276.vtk,glioma,12030,23656
data/vtk/glioma/Tr-gl_1277.vtk,glioma,16064,31640
data/vtk/glioma/Tr-gl_1278.vtk,glioma,11408,22288
data/vtk/glioma/Tr-gl_1279.vtk,glioma,42280,84032
data/vtk/glioma/Tr-gl_128.vtk,glioma,12670,24892
data/vtk/glioma/Tr-gl_1280.vtk,glioma,25364,49976
data/vtk/glioma/Tr-gl_1281.vtk,glioma,30966,61296
data/vtk/glioma/Tr-gl_1282.vtk,glioma,9894,19328
data/vtk/glioma/Tr-gl_1283.vtk,glioma,29688,58668
data/vtk/glioma/Tr-gl_1284.vtk,glioma,1774,3464
data/vtk/glioma/Tr-gl_1285.vtk,glioma,31558,62260
data/vtk/glioma/Tr-gl_1286.vtk,glioma,27768,54896
data/vtk/glioma/Tr-gl_1287.vtk,glioma,46932,93204
data/vtk/glioma/Tr-gl_1288.vtk,glioma,69628,138348
data/vtk/glioma/Tr-gl_1289.vtk,glioma,22934,45164
data/vtk/glioma/Tr-gl_129.vtk,glioma,22722,44800
data/vtk/glioma/Tr-gl_1290.vtk,glioma,32160,63680
data/vtk/glioma/Tr-gl_1291.vtk,glioma,22744,45092
data/vtk/glioma/Tr-gl_1292.vtk,glioma,25422,50432
data/vtk/glioma/Tr-gl_1293.vtk,glioma,31252,61752
data/vtk/glioma/Tr-gl_1294.vtk,glioma,3826,7504
data/vtk/glioma/Tr-gl_1295.vtk,glioma,2044,3960
data/vtk/glioma/Tr-gl_1296.vtk,glioma,1552,2984
data/vtk/glioma/Tr-gl_1297.vtk,glioma,36758,72932
data/vtk/glioma/Tr-gl_1298.vtk,glioma,31716,62600
data/vtk/glioma/Tr-gl_1299.vtk,glioma,52045,102548
data/vtk/glioma/Tr-gl_13.vtk,glioma,10248,20064
data/vtk/glioma/Tr-gl_130.vtk,glioma,42604,84632
data/vtk/glioma/Tr-gl_1300.vtk,glioma,25422,50232
data/vtk/glioma/Tr-gl_1301.vtk,glioma,70360,140316
data/vtk/glioma/Tr-gl_1302.vtk,glioma,33818,66612
data/vtk/glioma/Tr-gl_1303.vtk,glioma,61524,122216
data/vtk/glioma/Tr-gl_1304.vtk,glioma,3842,7504
data/vtk/glioma/Tr-gl_1305.vtk,glioma,18000,35364
data/vtk/glioma/Tr-gl_1306.vtk,glioma,30226,59916
data/vtk/glioma/Tr-gl_1307.vtk,glioma,10768,21088
data/vtk/glioma/Tr-gl_1308.vtk,glioma,27114,53380
data/vtk/glioma/Tr-gl_1309.vtk,glioma,9308,18172
data/vtk/glioma/Tr-gl_131.vtk,glioma,33214,65512
data/vtk/glioma/Tr-gl_1310.vtk,glioma,5082,9960
data/vtk/glioma/Tr-gl_1311.vtk,glioma,7574,14800
data/vtk/glioma/Tr-gl_1312.vtk,glioma,31634,62172
data/vtk/glioma/Tr-gl_1313.vtk,glioma,17960,35288
data/vtk/glioma/Tr-gl_1314.vtk,glioma,27510,54424
data/vtk/glioma/Tr-gl_1315.vtk,glioma,18560,36584
data/vtk/glioma/Tr-gl_1316.vtk,glioma,49298,97864
data/vtk/glioma/Tr-gl_1317.vtk,glioma,2410,4728
data/vtk/glioma/Tr-gl_1318.vtk,glioma,11976,23528
data/vtk/glioma/Tr-gl_1319.vtk,glioma,35620,70456
data/vtk/glioma/Tr-gl_132.vtk,glioma,20416,40264
data/vtk/glioma/Tr-gl_1320.vtk,glioma,192,368
data/vtk/glioma/Tr-gl_1321.vtk,glioma,57796,115052
data/vtk/glioma/Tr-gl_1322.vtk,glioma,14200,27840
data/vtk/glioma/Tr-gl_1323.vtk,glioma,7474,14704
data/vtk/glioma/Tr-gl_1324.vtk,glioma,35854,70876
data/vtk/glioma/Tr-gl_1325.vtk,glioma,776,1504
data/vtk/glioma/Tr-gl_1326.vtk,glioma,36154,71912
data/vtk/glioma/Tr-gl_1327.vtk,glioma,19302,37988
data/vtk/glioma/Tr-gl_1328.vtk,glioma,2276,4448
data/vtk/glioma/Tr-gl_1329.vtk,glioma,19200,37832
data/vtk/glioma/Tr-gl_133.vtk,glioma,61332,122076
data/vtk/glioma/Tr-gl_1330.vtk,glioma,17970,35456
data/vtk/glioma/Tr-gl_1331.vtk,glioma,24694,48836
data/vtk/glioma/Tr-gl_1332.vtk,glioma,262,504
data/vtk/glioma/Tr-gl_1333.vtk,glioma,20146,39660
data/vtk/glioma/Tr-gl_1334.vtk,glioma,25578,50464
data/vtk/glioma/Tr-gl_1335.vtk,glioma,39620,78604
data/vtk/glioma/Tr-gl_1336.vtk,glioma,9388,18416
data/vtk/glioma/Tr-gl_1337.vtk,glioma,29152,57496
data/vtk/glioma/Tr-gl_1338.vtk,glioma,16284,31940
data/vtk/glioma/Tr-gl_1339.vtk,glioma,16082,31692
data/vtk/glioma/Tr-gl_134.vtk,glioma,30902,61224
data/vtk/glioma/Tr-gl_1340.vtk,glioma,11904,23248
data/vtk/glioma/Tr-gl_1341.vtk,glioma,10858,21416
data/vtk/glioma/Tr-gl_1342.vtk,glioma,21790,42888
data/vtk/glioma/Tr-gl_1343.vtk,glioma,1154,2248
data/vtk/glioma/Tr-gl_1344.vtk,glioma,19500,38264
data/vtk/glioma/Tr-gl_1345.vtk,glioma,17654,34728
data/vtk/glioma/Tr-gl_1346.vtk,glioma,37338,73652
data/vtk/glioma/Tr-gl_1347.vtk,glioma,27044,53496
data/vtk/glioma/Tr-gl_1348.vtk,glioma,13462,26308
data/vtk/glioma/Tr-gl_1349.vtk,glioma,21362,41948
data/vtk/glioma/Tr-gl_135.vtk,glioma,17436,34360
data/vtk/glioma/Tr-gl_1350.vtk,glioma,1166,2272
data/vtk/glioma/Tr-gl_1351.vtk,glioma,46778,92824
data/vtk/glioma/Tr-gl_1352.vtk,glioma,726,1408
data/vtk/glioma/Tr-gl_1353.vtk,glioma,64166,127412
data/vtk/glioma/Tr-gl_1354.vtk,glioma,38258,75908
data/vtk/glioma/Tr-gl_1355.vtk,glioma,14590,28664
data/vtk/glioma/Tr-gl_1356.vtk,glioma,35286,69932
data/vtk/glioma/Tr-gl_1357.vtk,glioma,41190,81944
data/vtk/glioma/Tr-gl_1358.vtk,glioma,8134,15864
data/vtk/glioma/Tr-gl_1359.vtk,glioma,51736,102912
data/vtk/glioma/Tr-gl_136.vtk,glioma,25056,49496
data/vtk/glioma/Tr-gl_1360.vtk,glioma,22264,43896
data/vtk/glioma/Tr-gl_1361.vtk,glioma,36950,73572
data/vtk/glioma/Tr-gl_1362.vtk,glioma,470,904
data/vtk/glioma/Tr-gl_1363.vtk,glioma,35770,71072
data/vtk/glioma/Tr-gl_1364.vtk,glioma,16776,32992
data/vtk/glioma/Tr-gl_1365.vtk,glioma,7736,15080
data/vtk/glioma/Tr-gl_1366.vtk,glioma,992,1936
data/vtk/glioma/Tr-gl_1367.vtk,glioma,2080,4024
data/vtk/glioma/Tr-gl_1368.vtk,glioma,58914,117204
data/vtk/glioma/Tr-gl_1369.vtk,glioma,33772,66616
